average_rating,brand,category,id,name,price,primary_category,sold,total_rating,url
5.0,Paulo Coelho,Nhà Sách Tiki,52789368,Nhà Giả Kim (Tái Bản 2020),60700,Sách tiếng Việt,5000+,5899,https://tiki.vn/nha-gia-kim-tai-ban-2020-p52789367.html?
,,Nhà Sách Tiki,273934223,"Combo 2 Cuốn sách ""GIẢI MÃ BÁN HÀNG GIÁ CAO"" - BÍ MẬT NGÂM mà những Phù Thủy Bán Hàng không muốn bạn biết",500000,Sách tiếng Việt,,,https://tiki.vn/combo-2-cuon-sach-giai-ma-ban-hang-gia-cao-bi-mat-ngam-ma-nhung-phu-thuy-ban-hang-khong-muon-ban-biet-p273934222.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.294320_Y.1876640_Z.3958546_CN.Product-Ads-17%2F06%2F2024&itm_medium=CPC&itm_source=tiki-ads&
4.7,Alan Phan,Nhà Sách Tiki,3679517,Combo Sách Góc Nhìn Alan (Gồm 2 Cuốn),368000,Sách tiếng Việt,824,104,https://tiki.vn/combo-sach-goc-nhin-alan-gom-2-cuon-p3608639.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.277087_Y.1859407_Z.3870015_CN.Sach-doanh-nhan&itm_medium=CPC&itm_source=tiki-ads&
5.0,Delia Owens,Nhà Sách Tiki,73523598,Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,140000,Sách tiếng Việt,4453,664,https://tiki.vn/xa-ngoai-kia-noi-loai-tom-hat-where-the-crawdads-sing-p73207240.html?
4.8,Thought Catalog,Nhà Sách Tiki,121635155,Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark),48900,Sách tiếng Việt,5000+,628,https://tiki.vn/dieu-dep-nhat-co-khi-la-buong-tay-tang-kem-bookmark-p121635154.html?
,Thiên Long,Nhà Sách Tiki,217173021,Combo 5 Bút Bi Thiên Long TL-097,16000,Văn phòng phẩm,1,,https://tiki.vn/combo-5-but-bi-thien-long-tl-097-p217173018.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.219620_Y.1801940_Z.3619885_CN.06.-But-bi-pho-bien&itm_medium=CPC&itm_source=tiki-ads&
4.8,HappyLive,Nhà Sách Tiki,174301839,BỘ BOOKMARK 1% TINH HOA,49000,Quà lưu niệm,3169,19,https://tiki.vn/bo-bookmark-1-tinh-hoa-p174301838.html?
4.8,Ocean Vuong,Nhà Sách Tiki,147920904,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,104000,Sách tiếng Việt,5000+,2020,https://tiki.vn/mot-thoang-ta-ruc-ro-o-nhan-gian-p147920903.html?
4.8,Alan Phan,Nhà Sách Tiki,3679499,Góc Nhìn Alan - Bộ Di Sản Alan Phan,516000,Sách tiếng Việt,2187,247,https://tiki.vn/goc-nhin-alan-bo-di-san-alan-phan-p3608621.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.277087_Y.1859407_Z.3870013_CN.Sach-doanh-nhan&itm_medium=CPC&itm_source=tiki-ads&
5.0,Mai Lan Hương,Nhà Sách Tiki,157432545,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),144000,Sách tiếng Việt,5000+,1474,https://tiki.vn/giai-thich-ngu-phap-tieng-anh-voi-bai-tap-va-dap-an-tai-ban-p157432544.html?
5.0,Hae Min,Nhà Sách Tiki,3955615,Yêu Những Điều Không Hoàn Hảo,105000,Sách tiếng Việt,5000+,3948,https://tiki.vn/yeu-nhung-dieu-khong-hoan-hao-p3954355.html?
4.8,Minh Niệm,Nhà Sách Tiki,42230122,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,129000,Sách tiếng Việt,5000+,3669,https://tiki.vn/sach-hieu-ve-trai-tim-tai-ban-2019-minh-niem-p42230121.html?
4.8,Tim Marshall,Nhà Sách Tiki,73787186,Những Tù Nhân Của Địa Lý,162000,Sách tiếng Việt,5000+,4095,https://tiki.vn/nhung-tu-nhan-cua-dia-ly-p73787185.html?
5.0,Đặng Hoàng Giang,Nhà Sách Tiki,117254521,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,185000,Sách tiếng Việt,5000+,2372,https://tiki.vn/dai-duong-den-nhung-cau-chuyen-tu-the-gioi-cua-tram-cam-p117254517.html?
4.8,Albert Rutherford,Nhà Sách Tiki,46240930,Rèn Luyện Tư Duy Phản Biện,70000,Sách tiếng Việt,5000+,4787,https://tiki.vn/ren-luyen-tu-duy-phan-bien-p275243138.html?
4.7,,Nhà Sách Tiki,193151014,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",599000,Sách tiếng Việt,983,133,https://tiki.vn/trend-following-cach-thuc-de-kiem-duoc-van-may-lon-va-giau-co-trong-cac-thi-truong-bo-gau-va-cac-su-kien-thien-nga-den-p193151000.html?
5.0,Matt Haig,Nhà Sách Tiki,117238178,Thư Viện Nửa Đêm,115000,Sách tiếng Việt,5000+,1877,https://tiki.vn/thu-vien-nua-dem-p117238177.html?
